determined_at,type,special_key,target.target_id,target.target_type,shift_key,masked_key,gid,meta_key,time_diff
40045,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,119.0,06136989,,152.0
40148,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,86.0,06136989,,103.0
40427,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,7900.0,06136989,,279.0
40536,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,7821.0,06136989,,109.0
40599,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,69.0,06136989,,63.0
40978,KEY_DOWN,Tab,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,,06136989,,379.0
41212,KEY_DOWN,Shift,f5553f9a-8c04-4c5e-91d1-3d806cdcbfe9,password,True,,06136989,,234.0
41252,KEY_DOWN,,f5553f9a-8c04-4c5e-91d1-3d806cdcbfe9,password,True,7928.0,06136989,,40.0
41371,KEY_DOWN,,f5553f9a-8c04-4c5e-91d1-3d806cdcbfe9,password,,1148.0,06136989,,119.0
41590,KEY_DOWN,,f5553f9a-8c04-4c5e-91d1-3d806cdcbfe9,password,,88.0,06136989,,219.0
41737,KEY_DOWN,,f5553f9a-8c04-4c5e-91d1-3d806cdcbfe9,password,,88.0,06136989,,147.0
42468,KEY_DOWN,,f5553f9a-8c04-4c5e-91d1-3d806cdcbfe9,password,,1029.0,06136989,,731.0
42542,KEY_DOWN,,f5553f9a-8c04-4c5e-91d1-3d806cdcbfe9,password,,86.0,06136989,,74.0
42760,KEY_DOWN,,f5553f9a-8c04-4c5e-91d1-3d806cdcbfe9,password,,90.0,06136989,,218.0
42834,KEY_DOWN,,f5553f9a-8c04-4c5e-91d1-3d806cdcbfe9,password,,1014.0,06136989,,74.0
42883,KEY_DOWN,,f5553f9a-8c04-4c5e-91d1-3d806cdcbfe9,password,,277.0,06136989,,49.0
43096,KEY_DOWN,Shift,f5553f9a-8c04-4c5e-91d1-3d806cdcbfe9,password,True,,06136989,,213.0
43194,KEY_DOWN,,f5553f9a-8c04-4c5e-91d1-3d806cdcbfe9,password,True,7691.0,06136989,,98.0
60823,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,375.0,06455365,,
60900,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,66.0,06455365,,77.0
60989,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,1070.0,06455365,,89.0
61044,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,87.0,06455365,,55.0
61272,KEY_DOWN,Shift,f97db544-459b-4a87-b458-8be7d95d6c7b,email,True,,06455365,,228.0
61293,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,True,7927.0,06455365,,21.0
61607,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,82.0,06455365,,314.0
61765,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,113.0,06455365,,158.0
61856,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,113.0,06455365,,91.0
61968,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,87.0,06455365,,112.0
62139,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,107.0,06455365,,171.0
62206,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,262.0,06455365,,67.0
62294,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,87.0,06455365,,88.0
62396,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,107.0,06455365,,102.0
62473,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,262.0,06455365,,77.0
62912,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,117.0,06455365,,439.0
63136,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,1082.0,06455365,,224.0
63194,KEY_DOWN,,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,113.0,06455365,,58.0
63452,KEY_DOWN,Escape,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,,06455365,,258.0
63454,KEY_DOWN,Tab,f97db544-459b-4a87-b458-8be7d95d6c7b,email,,,06455365,,2.0
64084,KEY_DOWN,Shift,8a5e3c07-fc28-4abc-bcda-9564140b68c4,password,True,,06455365,,630.0
64196,KEY_DOWN,,8a5e3c07-fc28-4abc-bcda-9564140b68c4,password,True,74.0,06455365,,112.0
64330,KEY_DOWN,,8a5e3c07-fc28-4abc-bcda-9564140b68c4,password,,119.0,06455365,,134.0
64510,KEY_DOWN,,8a5e3c07-fc28-4abc-bcda-9564140b68c4,password,,1131.0,06455365,,180.0
64623,KEY_DOWN,,8a5e3c07-fc28-4abc-bcda-9564140b68c4,password,,1131.0,06455365,,113.0
64735,KEY_DOWN,,8a5e3c07-fc28-4abc-bcda-9564140b68c4,password,,1069.0,06455365,,112.0
64825,KEY_DOWN,,8a5e3c07-fc28-4abc-bcda-9564140b68c4,password,,7778.0,06455365,,90.0
65027,KEY_DOWN,,8a5e3c07-fc28-4abc-bcda-9564140b68c4,password,,1127.0,06455365,,202.0
65075,KEY_DOWN,,8a5e3c07-fc28-4abc-bcda-9564140b68c4,password,,526.0,06455365,,48.0
65174,KEY_DOWN,,8a5e3c07-fc28-4abc-bcda-9564140b68c4,password,,106.0,06455365,,99.0
65433,KEY_DOWN,Shift,8a5e3c07-fc28-4abc-bcda-9564140b68c4,password,True,,06455365,,259.0
65612,KEY_DOWN,,8a5e3c07-fc28-4abc-bcda-9564140b68c4,password,True,7833.0,06455365,,179.0
66378,KEY_DOWN,Enter,8a5e3c07-fc28-4abc-bcda-9564140b68c4,password,,,06455365,,766.0
58138,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,83.0,07361069,,
58279,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,7702.0,07361069,,141.0
58416,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,7907.0,07361069,,137.0
58561,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,540.0,07361069,,145.0
58995,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,1102.0,07361069,,434.0
59050,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,67.0,07361069,,55.0
59219,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,1112.0,07361069,,169.0
59838,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,1142.0,07361069,,619.0
60059,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,7702.0,07361069,,221.0
61196,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,78.0,07361069,,1137.0
61268,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,7907.0,07361069,,72.0
61462,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,84.0,07361069,,194.0
61737,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,1142.0,07361069,,275.0
61840,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,78.0,07361069,,103.0
61934,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,83.0,07361069,,94.0
62034,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,119.0,07361069,,100.0
62270,KEY_DOWN,Shift,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,True,,07361069,,236.0
63197,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,True,353.0,07361069,,927.0
63516,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,78.0,07361069,,319.0
63742,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,1060.0,07361069,,226.0
63834,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,370.0,07361069,,92.0
63957,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,85.0,07361069,,123.0
64211,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,1142.0,07361069,,254.0
64237,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,1112.0,07361069,,26.0
64735,KEY_DOWN,Backspace,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,,07361069,,498.0
64938,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,88.0,07361069,,203.0
65108,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,78.0,07361069,,170.0
65540,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,84.0,07361069,,432.0
65670,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,83.0,07361069,,130.0
65773,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,1112.0,07361069,,103.0
65885,KEY_DOWN,,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,85.0,07361069,,112.0
66168,KEY_DOWN,Tab,689cf79b-6d09-41ab-8dd6-88382b0dcde3,email,,,07361069,,283.0
66635,KEY_DOWN,Shift,b8dca0ec-0521-4b51-94e9-bf6f89ccffee,password,True,,07361069,,467.0
67035,KEY_DOWN,,b8dca0ec-0521-4b51-94e9-bf6f89ccffee,password,True,679.0,07361069,,400.0
67317,KEY_DOWN,,b8dca0ec-0521-4b51-94e9-bf6f89ccffee,password,,7746.0,07361069,,282.0
67499,KEY_DOWN,,b8dca0ec-0521-4b51-94e9-bf6f89ccffee,password,,455.0,07361069,,182.0
67658,KEY_DOWN,,b8dca0ec-0521-4b51-94e9-bf6f89ccffee,password,,455.0,07361069,,159.0
67770,KEY_DOWN,,b8dca0ec-0521-4b51-94e9-bf6f89ccffee,password,,103.0,07361069,,112.0
67796,KEY_DOWN,,b8dca0ec-0521-4b51-94e9-bf6f89ccffee,password,,444.0,07361069,,26.0
68025,KEY_DOWN,,b8dca0ec-0521-4b51-94e9-bf6f89ccffee,password,,7805.0,07361069,,229.0
68119,KEY_DOWN,,b8dca0ec-0521-4b51-94e9-bf6f89ccffee,password,,114.0,07361069,,94.0
68143,KEY_DOWN,,b8dca0ec-0521-4b51-94e9-bf6f89ccffee,password,,7860.0,07361069,,24.0
68284,KEY_DOWN,Shift,b8dca0ec-0521-4b51-94e9-bf6f89ccffee,password,True,,07361069,,141.0
68401,KEY_DOWN,,b8dca0ec-0521-4b51-94e9-bf6f89ccffee,password,True,69.0,07361069,,117.0
68670,KEY_DOWN,Enter,b8dca0ec-0521-4b51-94e9-bf6f89ccffee,password,,,07361069,,269.0
44651,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,7695.0,07937433,,
44747,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,7775.0,07937433,,96.0
44867,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,7712.0,07937433,,120.0
44995,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,7784.0,07937433,,128.0
45147,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,7735.0,07937433,,152.0
45243,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,120.0,07937433,,96.0
45403,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,1110.0,07937433,,160.0
45515,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,120.0,07937433,,112.0
45763,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,82.0,07937433,,248.0
46115,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,113.0,07937433,,352.0
46275,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,1147.0,07937433,,160.0
46451,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,1110.0,07937433,,176.0
46523,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,120.0,07937433,,72.0
46691,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,7910.0,07937433,,168.0
46867,KEY_DOWN,Shift,558f823d-5554-457c-9601-ea2df1676efe,email,True,,07937433,,176.0
46923,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,True,109.0,07937433,,56.0
47251,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,120.0,07937433,,328.0
47427,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,1101.0,07937433,,176.0
47563,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,7712.0,07937433,,136.0
47691,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,7785.0,07937433,,128.0
47851,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,1137.0,07937433,,160.0
48019,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,7735.0,07937433,,168.0
48099,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,120.0,07937433,,80.0
48243,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,82.0,07937433,,144.0
48387,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,7695.0,07937433,,144.0
48491,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,1147.0,07937433,,104.0
48563,KEY_DOWN,,558f823d-5554-457c-9601-ea2df1676efe,email,,7785.0,07937433,,72.0
48699,KEY_DOWN,Tab,558f823d-5554-457c-9601-ea2df1676efe,email,,,07937433,,136.0
48907,KEY_DOWN,Shift,904f4103-a365-4574-88bb-e6792c53ce34,password,True,,07937433,,208.0
49027,KEY_DOWN,,904f4103-a365-4574-88bb-e6792c53ce34,password,True,120.0,07937433,,120.0
49291,KEY_DOWN,,904f4103-a365-4574-88bb-e6792c53ce34,password,,115.0,07937433,,264.0
49491,KEY_DOWN,,904f4103-a365-4574-88bb-e6792c53ce34,password,,208.0,07937433,,200.0
49635,KEY_DOWN,,904f4103-a365-4574-88bb-e6792c53ce34,password,,208.0,07937433,,144.0
49755,KEY_DOWN,,904f4103-a365-4574-88bb-e6792c53ce34,password,,106.0,07937433,,120.0
49835,KEY_DOWN,,904f4103-a365-4574-88bb-e6792c53ce34,password,,682.0,07937433,,80.0
50091,KEY_DOWN,,904f4103-a365-4574-88bb-e6792c53ce34,password,,122.0,07937433,,256.0
50219,KEY_DOWN,,904f4103-a365-4574-88bb-e6792c53ce34,password,,334.0,07937433,,128.0
50387,KEY_DOWN,,904f4103-a365-4574-88bb-e6792c53ce34,password,,458.0,07937433,,168.0
50651,KEY_DOWN,Shift,904f4103-a365-4574-88bb-e6792c53ce34,password,True,,07937433,,264.0
50827,KEY_DOWN,,904f4103-a365-4574-88bb-e6792c53ce34,password,True,1024.0,07937433,,176.0
36354,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,524.0,08215655,,
36478,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,68.0,08215655,,124.0
36642,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,71.0,08215655,,164.0
36706,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,110.0,08215655,,64.0
36938,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,7820.0,08215655,,232.0
37218,KEY_DOWN,Shift,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,True,,08215655,,280.0
37610,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,True,7769.0,08215655,,392.0
37902,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,115.0,08215655,,292.0
38250,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,466.0,08215655,,348.0
38426,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,466.0,08215655,,176.0
38594,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,1125.0,08215655,,168.0
38834,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,90.0,08215655,,240.0
39030,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,7696.0,08215655,,196.0
39170,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,1125.0,08215655,,140.0
39254,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,90.0,08215655,,84.0
39390,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,7696.0,08215655,,136.0
39702,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,7681.0,08215655,,312.0
40010,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,324.0,08215655,,308.0
40090,KEY_DOWN,,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,466.0,08215655,,80.0
40242,KEY_DOWN,Tab,8ba79dc7-282e-4b8b-961f-b1cfd047bf17,email,,,08215655,,152.0
40486,KEY_DOWN,Shift,ee78f6e5-df05-4516-add3-0c9d6c4c989e,password,True,,08215655,,244.0
40658,KEY_DOWN,,ee78f6e5-df05-4516-add3-0c9d6c4c989e,password,True,67.0,08215655,,172.0
40846,KEY_DOWN,,ee78f6e5-df05-4516-add3-0c9d6c4c989e,password,,1025.0,08215655,,188.0
41030,KEY_DOWN,,ee78f6e5-df05-4516-add3-0c9d6c4c989e,password,,119.0,08215655,,184.0
41154,KEY_DOWN,,ee78f6e5-df05-4516-add3-0c9d6c4c989e,password,,119.0,08215655,,124.0
41254,KEY_DOWN,,ee78f6e5-df05-4516-add3-0c9d6c4c989e,password,,7766.0,08215655,,100.0
41334,KEY_DOWN,,ee78f6e5-df05-4516-add3-0c9d6c4c989e,password,,330.0,08215655,,80.0
41542,KEY_DOWN,Shift,ee78f6e5-df05-4516-add3-0c9d6c4c989e,password,True,,08215655,,208.0
42174,KEY_DOWN,,ee78f6e5-df05-4516-add3-0c9d6c4c989e,password,,1132.0,08215655,,632.0
42246,KEY_DOWN,,ee78f6e5-df05-4516-add3-0c9d6c4c989e,password,,83.0,08215655,,72.0
42342,KEY_DOWN,,ee78f6e5-df05-4516-add3-0c9d6c4c989e,password,,113.0,08215655,,96.0
42566,KEY_DOWN,Shift,ee78f6e5-df05-4516-add3-0c9d6c4c989e,password,True,,08215655,,224.0
42734,KEY_DOWN,,ee78f6e5-df05-4516-add3-0c9d6c4c989e,password,True,70.0,08215655,,168.0
38253,KEY_DOWN,Tab,611afb35-1fa5-41cb-a676-8d05c17f7ed8,body,,,11373995,,
41666,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,1090.0,11373995,,3413.0
41804,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,81.0,11373995,,138.0
41925,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,7916.0,11373995,,121.0
42071,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,104.0,11373995,,146.0
42165,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,579.0,11373995,,94.0
42231,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,7898.0,11373995,,66.0
42541,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,203.0,11373995,,310.0
42803,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,1090.0,11373995,,262.0
42948,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,90.0,11373995,,145.0
43098,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,90.0,11373995,,150.0
43186,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,579.0,11373995,,88.0
43301,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,81.0,11373995,,115.0
43574,KEY_DOWN,Shift,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,True,,11373995,,273.0
43692,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,True,70.0,11373995,,118.0
44034,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,579.0,11373995,,342.0
44223,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,87.0,11373995,,189.0
44341,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,1090.0,11373995,,118.0
44449,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,1025.0,11373995,,108.0
44558,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,523.0,11373995,,109.0
44721,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,90.0,11373995,,163.0
44822,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,579.0,11373995,,101.0
44953,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,203.0,11373995,,131.0
45372,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,591.0,11373995,,419.0
45461,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,1135.0,11373995,,89.0
45539,KEY_DOWN,,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,1025.0,11373995,,78.0
45673,KEY_DOWN,Tab,955df038-2e05-4a3a-be0d-6a89c4f1b73a,email,,,11373995,,134.0
46229,KEY_DOWN,Shift,14fd7533-90c5-43cb-9327-256b0fb74dbd,password,True,,11373995,,556.0
46360,KEY_DOWN,,14fd7533-90c5-43cb-9327-256b0fb74dbd,password,True,7855.0,11373995,,131.0
46501,KEY_DOWN,,14fd7533-90c5-43cb-9327-256b0fb74dbd,password,,7895.0,11373995,,141.0
46699,KEY_DOWN,,14fd7533-90c5-43cb-9327-256b0fb74dbd,password,,276.0,11373995,,198.0
46847,KEY_DOWN,,14fd7533-90c5-43cb-9327-256b0fb74dbd,password,,276.0,11373995,,148.0
46973,KEY_DOWN,,14fd7533-90c5-43cb-9327-256b0fb74dbd,password,,606.0,11373995,,126.0
47098,KEY_DOWN,,14fd7533-90c5-43cb-9327-256b0fb74dbd,password,,105.0,11373995,,125.0
47488,KEY_DOWN,,14fd7533-90c5-43cb-9327-256b0fb74dbd,password,,108.0,11373995,,390.0
47583,KEY_DOWN,,14fd7533-90c5-43cb-9327-256b0fb74dbd,password,,101.0,11373995,,95.0
47702,KEY_DOWN,,14fd7533-90c5-43cb-9327-256b0fb74dbd,password,,117.0,11373995,,119.0
47927,KEY_DOWN,Shift,14fd7533-90c5-43cb-9327-256b0fb74dbd,password,True,,11373995,,225.0
48035,KEY_DOWN,,14fd7533-90c5-43cb-9327-256b0fb74dbd,password,True,104.0,11373995,,108.0
48504,KEY_DOWN,Enter,14fd7533-90c5-43cb-9327-256b0fb74dbd,password,,,11373995,,469.0
40789,KEY_DOWN,Tab,c3ba2851-efe1-44fb-99ef-b6d70ae3c475,body,,,11735094,,
42294,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,,83.0,11735094,,1505.0
42417,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,,7903.0,11735094,,123.0
42523,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,,345.0,11735094,,106.0
42614,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,,7907.0,11735094,,91.0
42756,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,,345.0,11735094,,142.0
42883,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,,1139.0,11735094,,127.0
43051,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,,616.0,11735094,,168.0
43268,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,,320.0,11735094,,217.0
43432,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,,70.0,11735094,,164.0
43545,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,,7907.0,11735094,,113.0
43694,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,,7693.0,11735094,,149.0
44034,KEY_DOWN,Shift,c95df021-3514-4be4-91c7-638c432497b2,email,True,,11735094,,340.0
44255,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,True,73.0,11735094,,221.0
44715,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,,70.0,11735094,,460.0
44875,KEY_DOWN,,c95df021-3514-4be4-91c7-638c432497b2,email,,194.0,11735094,,160.0
